Organization Name,State,CG ID,Organisation - Org Website
21st Century Cyber Charter School,PA,524582,http://21cccs.org/
Acton Boxborough Regional School District,MA,415722,http://www.abschools.org/
Akron City School District,OH,601750,http://www.akronschools.com/
Albemarle,NC,297262,http://www.albemarlenc.gov/
Algoma,WI,338672,http://www.algomacity.org/
Amesbury Public Schools,MA,411582,http://schools.amesburyma.gov/
Antioch,IL,580902,https://www.antioch.il.gov/
Aquinnah,MA,492,http://www.aquinnah-ma.gov/
Arlington,MA,493,https://www.arlingtonma.gov/
Arlington Public Schools,MA,411602,http://www.arlington.k12.ma.us/home/default.asp
Ashland,MA,497,https://www.ashlandmass.com/
Ashland Public Schools,MA,411632,http://ahs.ashland.k12.ma.us/
Athol,MA,498,http://www.athol-ma.gov/
Auburn,MA,500,http://www.auburnguide.com/
Ayer,MA,502,https://www.ayer.ma.us/
Ayer Shirley Regional School District,MA,415782,https://www.asrsd.org/
Balch Springs,TX,365952,http://www.cityofbalchsprings.com
Belfast School District,NY,510432,https://www.belfastcsd.org/
Belle Isle,FL,2062,http://www.cityofbelleislefl.org/
Belleair,FL,2072,https://www.townofbelleair.com/
Belleville,WI,336932,https://www.bellevillewi.org/
Bellingham,MA,508,https://www.bellinghamma.org/
Bellingham Public Schools,MA,411772,http://www.bellinghamk12.org/pages/Bellingham_Public_Schools
Benton City,WA,325842,https://www.ci.benton-city.wa.us/
Berkshire School District,NY,511222,http://www.berkshirefarm.org/
Berlin,MA,511,http://www.townofberlin.com/
Berlin School District,NY,514912,http://berlincentral.org/
Beverly Public Schools,MA,411802,http://www.beverlyschools.org/
Blackstone Valley Regional Vocational Technical High School,MA,416312,http://www.valleytech.k12.ma.us/
Bridgewater Raynham Regional School District,MA,415822,https://www.bridge-rayn.org/
Brockton,MA,527,http://www.brockton.ma.us/
Brookline,MA,529,https://www.brooklinema.gov/
Brookline Public Schools,MA,411962,http://www.brookline.k12.ma.us/
Brunswick (Brittonkill) School District,NY,514922,http://www.brunswickcsd.org/
Burlington,WI,356512,https://www.burlington-wi.gov/
Canton Public Schools,MA,412002,http://www.cantonma.org/pages/CantonPublicSchools
Carlisle,MA,534,https://www.carlislema.gov/
Carlynton School District,PA,526342,http://www.carlynton.k12.pa.us/
Carolina Beach,NC,300122,https://www.carolinabeach.org/
Carrboro,NC,302362,https://townofcarrboro.org/
Central Valley At Ilion-Mohawk School District,NY,512422,https://www.cvalleycsd.org/
Chester,NY,1680,https://www.townofchesterny.org/
Chippewa,PA,261242,http://chippewa-twp.org/
Clarke County Schools,GA,601170,https://www.clarke.k12.ga.us/
Clinton School District,NY,514012,https://www.ccs.edu/
Coconut Creek,FL,2512,https://www.coconutcreek.net/
Cokato,MN,597895,http://www.cokato.mn.us/
Commerce City Schools,GA,601264,http://www.commercecityschools.org/
Concord,MA,550,https://www.concordma.gov/
Concord Public Schools,MA,412172,http://www.concordps.org/
Cortland,NY,1779,https://www.cortland.org/
Covington,WA,600923,http://www.covingtonwa.gov/
Cumberland School District,WI,601387,http://www.cumberland.k12.wi.us
Davidson,NC,302592,https://www.ci.davidson.nc.us/
Dayton,TX,371002,http://www.daytontx.gov
Decatur,GA,64952,http://www.decaturga.com/
Dedham Public Schools,MA,412242,http://www.dedham.k12.ma.us/pages/Dedham_Public_Schools
Dunlap,IL,587952,http://www.villageofdunlap-il.gov/
Dunwoody,GA,64982,http://www.dunwoodyga.gov/
Duxbury,MA,565,https://www.town.duxbury.ma.us/
Duxbury Public Schools,MA,412322,http://www.duxbury.k12.ma.us/
East Bridgewater Public Schools,MA,412332,http://www.ebps.net/
East Fallowfield,PA,274142,https://www.eastfallowfield.org/
East Quogue School District,NY,516342,http://www.eastquogue.k12.ny.us/
East Rockaway School District,NY,513192,http://www.eastrockawayschools.org/
Easton,MA,571,http://www.easton.ma.us/
Easton Public Schools,MA,412382,http://www.easton.k12.ma.us/
Elgin,IL,579762,https://www.cityofelgin.org/
Esopus,NY,1660,https://www.esopus.com/
Fort Myers Beach,FL,2962,https://www.fortmyersbeachfl.gov/
Fort Pierce,FL,2972,https://www.cityoffortpierce.com/
Framingham,MA,583,https://www.framinghamma.gov/
Framingham Public Schools,MA,412502,http://www.framingham.k12.ma.us/
Gardner Public Schools,MA,412542,http://www.gardnerk12.org/
Gateway Regional School District,MA,415952,http://www.grsd.org/
Georgetown,MA,587,https://www.georgetownma.gov/
Georgetown Public Schools,MA,412552,http://www.gssapp.org/GeorgetownPublicSchools/
Gill Montague Regional School District,MA,415962,http://www.gmrsd.org/
Gloucester,MA,589,http://gloucester-ma.gov/
Greater Lawrence Technical High School,MA,416392,http://greaterlawrencets.schoolinsites.com/
Groton Dunstable Regional School District,MA,415942,http://www.gdrsd.org/
Guilford,CT,27202,http://www.ci.guilford.ct.us/
Haldane School District,NY,514872,https://www.haldaneschool.org/
Hanover Public Schools,MA,412712,http://hanoverschools.org/
Hanson,MA,605,https://www.hanson-ma.gov/
Hardwick,MA,606,https://www.townofhardwick.com/
Haverhill,MA,610,http://www.ci.haverhill.ma.us/
Hayden,CO,92342,http://haydencolorado.org/
Hempstead,NY,1318,https://hempsteadny.gov/
Holland,MA,617,https://town.holland.ma.us/
Holliston,MA,618,https://www.townofholliston.us/
Holliston Public Schools,MA,412862,http://www.holliston.k12.ma.us/
Holly Ridge,NC,304472,http://townofhollyridge.net/
Hope Mills,NC,303922,https://www.townofhopemills.com/
Hopkinton,MA,621,http://www.hopkintonma.gov/
Hubbardston,MA,622,https://www.hubbardstonma.us/
Ipswich Public Schools,MA,412942,http://www.ipsk12.net/
Jaffrey,NH,154942,https://www.townofjaffrey.com/
Jenkintown,PA,244492,http://jenkintownboro.com/
Katy,TX,368982,http://www.cityofkaty.com
Key Colony Beach,FL,3652,https://keycolonybeach.net/
Kickapoo Area School District,WI,601481,http://www.kickapoo.k12.wi.us
Lake Clarke Shores,FL,3762,http://www.townoflakeclarkeshores.com/
Lanesborough,MA,630,https://www.lanesborough-ma.gov/
Lawrence,MA,631,https://www.cityoflawrence.com/
Lemont,IL,572662,https://www.lemont.il.us/
Leominster Public Schools,MA,413032,http://www.leominster.mec.edu/
Levittown School District,NY,513052,http://www.levittownschools.com/
Lincoln,MA,639,https://www.lincolntown.org/
Lincoln Sudbury Regional High School,MA,416022,http://www.lsrhs.net/
Lincolnton,NC,303762,https://www.ci.lincolnton.nc.us/
Locust,NC,297292,https://locustnc.com/
Locust Grove,GA,69162,https://www.locustgrove-ga.gov/
Loomis,CA,237,https://loomis.ca.gov/
Lowell,MA,642,https://www.lowellma.gov/
Lowell Public Schools,MA,413102,http://www.lowell.k12.ma.us/
Lower Merion,PA,244572,https://www.lowermerion.org/
Lunenburg,MA,644,https://www.lunenburgma.gov/
Madeira Beach,FL,4032,https://madeirabeachfl.gov/
Manchester Essex Regional School District,MA,416042,http://www.mersd.org/
Manchester-by-the-sea,MA,439352,https://www.manchester.ma.us/
Maple Valley,WA,600978,https://www.maplevalleywa.gov/
Maplewood,MN,598226,https://maplewoodmn.gov/
Marblehead Public Schools,MA,413182,http://www.marbleheadschools.org/
Marshfield,MA,653,https://www.marshfield-ma.gov/
Masconomet Regional School District,MA,416052,http://www.masconomet.org/
Mashpee,MA,654,https://www.mashpeema.gov/
Mashpee Public Schools,MA,413212,http://www.mashpee.k12.ma.us/
Maynard,MA,656,https://www.townofmaynard-ma.gov/
Maynard Public Schools,MA,413242,http://www.maynardschools.org/
Medfield,MA,657,https://www.town.medfield.net/
Medfield Public Schools,MA,413252,http://www.medfield.net/
Medford,MA,658,http://www.medfordma.org/
Medley,FL,4192,http://www.townofmedley.com/
Medway,MA,659,https://www.townofmedway.org/
Medway Public Schools,MA,413272,http://www.medwayschools.org/
Melrose,MA,660,https://www.cityofmelrose.org/
Melrose Public Schools,MA,413282,http://www.melroseschools.com/
Mequon,WI,353132,https://www.ci.mequon.wi.us/
Mequon-Thiensville School District,WI,601529,http://www.mtsd.k12.wi.us
Methuen Public Schools,MA,413312,http://www.methuen.k12.ma.us/
Milford,MA,667,https://www.milfordma.gov/
Milford Public Schools,MA,413352,http://www.milfordpublicschools.com/
Millbury,MA,668,http://www.millbury-ma.org/Public_Documents/index
Millis,MA,669,http://www.millis.org/
Millis Public Schools,MA,413372,http://www.millisps.org/
Milton,MA,671,https://www.townofmilton.org/
Monomoy Regional School District,MA,416072,http://www.monomoy.edu/
Mount Airy,NC,303842,https://www.mountairy.org/
Mount Dora,FL,4382,https://ci.mount-dora.fl.us/
Mount Pleasant,WI,356592,https://www.mtpleasantwi.gov/
Mt. Crested Butte,CO,406962,https://www.mtcrestedbuttecolorado.us/
Mt. Zion,IL,583352,https://www.mtzion.com/
Murphy,NC,297502,https://townofmurphync.com/
Mustang,OK,219082,http://www.cityofmustang.org
Natick,MA,680,https://www.natickma.gov/
Needham Public Schools,MA,413472,http://www.needham.k12.ma.us/
New Durham,NH,155302,https://www.newdurhamnh.us/
Newburyport Public Schools,MA,413552,http://www.newburyport.k12.ma.us/
Normandy Park,WA,601002,https://normandyparkwa.gov/
North Attleborough,MA,693,https://www.nattleboro.com/
North Attleborough Public Schools,MA,413622,http://www.naschools.net/
Northbridge,MA,698,http://www.northbridgemass.org/
Norton Public Schools,MA,413682,https://www.norton.k12.ma.us/
Norwalk School District,CT,518442,http://www.norwalkps.org/
Norwell,MA,701,https://www.townofnorwell.net/
Norwood Public Schools,MA,413692,http://www.norwood.k12.ma.us/
Oakfield,NY,9592,https://oakfield.govoffice.com/
Oglesby,IL,581702,https://www.oglesby.il.us/
Ontario Local School District,OH,602250,http://www.ontarioschools.org/
Orange Park,FL,4652,https://www.townoforangepark.com/
Oxford,MA,708,https://www.town.oxford.ma.us/
Palmer Lake,CO,88052,https://www.townofpalmerlake.com/
Palmetto Bay,FL,4812,https://www.palmettobay-fl.gov/
Pardeeville Area School District,WI,601590,http://www.pardeeville.k12.wi.us
Parkview School District,WI,601592,http://www.parkview.k12.wi.us
Parlier,CA,312,http://parlier.ca.us/
Peachtree Corners,GA,406592,https://www.peachtreecornersga.gov/
Peekskill School District,NY,517372,https://www.peekskillcsd.org/
Penn-Delco School District,PA,527542,https://www.pdsd.org
Pennsylvania Distance Learning Charter School,PA,530002,https://www.padistance.org/
Pinehurst,NC,296942,https://www.vopnc.org/
Plum Borough School District,PA,526862,http://www.pbsd.net/
Plymouth,MA,721,https://www.plymouth-ma.gov/
Powder Springs,GA,63352,https://www.cityofpowdersprings.org/
Princeton,NC,298162,https://www.myprincetonnc.com/
Prosser,WA,601021,https://cityofprosser.com/
Pueblo West,CO,90062,https://www.pueblowestmetro.com/
Putnam,CT,27692,https://www.putnamct.us/
Quincy,MA,725,https://www.quincyma.gov/
Quincy Public Schools,MA,413932,http://quincypublicschools.com/
Radnor,PA,256892,https://www.radnor.com/
Ralph C Mahar Regional School District,MA,416182,http://www.rcmahar.org/
Randolph Public Schools,MA,413942,http://www.randolph.k12.ma.us/
Ridgefield,WA,601032,https://ridgefieldwa.us/
Riverdale,GA,66482,https://www.riverdalega.gov/
Riverdale Local School District,OH,602102,http://www.riverdale.k12.oh.us/
Ross,PA,259372,https://www.ross.pa.us/
Rye,NY,1737,https://www.townofryeny.com/
Rye Brook,NY,10332,http://www.ryebrook.org/
Salem,VA,411422,https://salemva.gov/
Salina,KS,83052,http://www.salinaks.gov
Sandwich Public Schools,MA,414112,https://www.sandwichk12.org/
Saranac,NY,1015,http://www.townofsaranac.com/
Scarsdale,NY,10452,https://www.scarsdale.com/
Scottsville,NY,10502,https://www.scottsvilleny.org/
Seatac,WA,601039,http://www.seatacwa.gov/
Seekonk,MA,747,https://www.seekonk-ma.gov/
Seekonk Public Schools,MA,414162,http://www.seekonk.k12.ma.us/
Selinsgrove,PA,248272,http://www.selinsgrove.org/
Sesser,IL,575532,https://www.sesser.org/
Sheboygan,WI,335052,http://www.sheboyganwi.gov/
Show Low,AZ,17382,https://showlowaz.gov/
Shrewsbury,MA,753,https://shrewsburyma.gov/
Shrewsbury Public Schools,MA,414212,http://schools.shrewsburyma.gov/
Social Circle,GA,65972,https://socialcirclega.gov/
South Hadley,MA,757,https://www.southhadley.org/
South Hadley Public Schools,MA,414282,http://www.southhadleyschools.org/
Southern Berkshire Regional School District,MA,416222,http://www.sbrsd.org/
Spencer,MA,762,http://www.spencerma.gov/
Springfield,PA,278242,https://www.springfieldbucks.org/
Starke,FL,5442,http://www.cityofstarke.org/
Sterling,MA,764,https://www.sterling-ma.gov/
Stoneham,MA,766,http://www.stoneham-ma.gov/
Stoughton Public Schools,MA,414352,http://www.stoughtonschools.org/
Stow,MA,768,https://www.stow-ma.gov/
Sudbury,MA,770,https://sudbury.ma.us/
Sudbury Public Schools,MA,414372,http://www.sudbury.k12.ma.us/
Surf City,NC,439702,http://www.surfcitync.gov/
Sutton,MA,772,https://www.suttonma.org/
Swampscott,MA,773,http://www.town.swampscott.ma.us/
Swansboro,NC,304552,https://swansboro-nc.org/
Swansea Public Schools,MA,414432,http://www.swanseaschools.org/
Swatara,PA,279682,https://www.swataratwp.com/
Tavares,FL,5542,https://www.tavares.org/
Taylorsville,NC,300972,https://www.taylorsvillenc.com/
Thorp School District,WI,601682,http://www.thorp.k12.wi.us
Tisbury,MA,778,https://www.tisburyma.gov/
Tri County Regional Vocational Technical High School,MA,416532,http://www.tri-county.us/
Tri-Valley School District,NY,516432,https://www.trivalleycsd.org/
Truro,MA,782,https://www.truro-ma.gov/
Tuscarora School District,PA,523172,http://www.tus.k12.pa.us
Tyngsborough Public Schools,MA,414502,http://www.tyngsboroughps.org/
Unadilla Valley School District,NY,511092,http://www.uvstorm.org/
Upper Brookville,NY,11022,http://upperbrookville.org/
Upper Cape Regional Vocational Technical  School,MA,416552,http://www.uppercapetech.com/
Upper Mount Bethel,PA,409112,http://umbt.org/
Upton,MA,785,https://www.uptonma.gov/
Wadesboro,NC,297822,http://www.townofwadesboro.org/
Walpole,MA,789,https://www.walpole-ma.gov/
Walpole Public Schools,MA,414592,http://www.walpole.k12.ma.us/
Wappingers Falls,NY,11172,http://www.wappingersfallsny.gov/
Wareham,MA,792,https://www.wareham.ma.us/
Warrensburg,NY,1689,http://townofwarrensburg.org/
Warwick,MA,794,http://www.warwickma.org/
Warwick Valley School District,NY,514562,https://www.warwickvalleyschools.com/
Waxhaw,NC,304332,https://www.waxhaw.com/
Wayland,MA,797,https://www.wayland.ma.us/
Wayland Public Schools,MA,414652,http://www.wayland.k12.ma.us/
Webster Public Schools,MA,414662,http://www.webster-schools.org/
Wellesley Public Schools,MA,414672,http://www.wellesley.k12.ma.us/
West Peoria,IL,588092,http://cityofwestpeoria.org/
West Tisbury,MA,809,https://www.westtisbury-ma.gov/
Westwood Public Schools,MA,414852,http://www.westwood.k12.ma.us/
Wheatland-Chili School District,NY,512942,https://www.wheatland.k12.ny.us/
Whitefish Bay School District,WI,601730,http://www.wfbschools.com
Winchendon,MA,825,https://www.townofwinchendon.com/
Winneconne Community School District,WI,601737,http://www.winneconne.k12.wi.us
Winthrop,MA,828,https://www.town.winthrop.ma.us/
Woburn,MA,829,https://www.woburnma.gov/
Woburn Public Schools,MA,414972,http://www.woburnpublicschools.com/
Woodland Park,CO,91982,https://city-woodlandpark.org/
